BEFOLKNING_KJOENN__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KOMMNR_FAKTISK__10_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KOMMNR_FAKTISK__1_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KOMMNR_FAKTISK__3_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KOMMNR_FORMELL__15_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KOMMNR_FORMELL__1_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KOMMNR_FORMELL__5_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BEFOLKNING_KONTAKT_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KONTAKT_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KONTAKT_HUSHNR__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KONTAKT_REGSTAT_FAMNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KONTAKT_REGSTAT_FAMNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KONTAKT_REGSTAT_FAMNR__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_LANDBAK3GEN__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_LANDBAK3GEN__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_LANDBAK3GEN__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_LANDBAK3GEN__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_MOR_FNR__15_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_MOR_FNR__1_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_MOR_FNR__3_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_MOR_FNR__5_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_MRK_FNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_MRK_FNR__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
